fold_start,MAE,RMSE,MAPE
2015-04-04 23:00:00+00:00,12.0,16.768,63.237
2015-05-04 23:00:00+00:00,6.084,7.718,10.592
2015-06-03 23:00:00+00:00,7.539,9.602,13.086
2015-07-03 23:00:00+00:00,5.955,7.324,12.268
2015-08-02 23:00:00+00:00,5.18,6.479,8.532
2015-09-01 23:00:00+00:00,3.403,4.772,5.289
2015-10-01 23:00:00+00:00,3.756,4.135,7.193
2015-10-31 23:00:00+00:00,6.306,8.586,21.676
2015-11-30 23:00:00+00:00,9.881,12.386,13.413
2015-12-30 23:00:00+00:00,5.06,6.726,9.549
2016-01-29 23:00:00+00:00,7.362,8.491,17.145
2016-02-28 23:00:00+00:00,6.675,8.284,18.161
2016-03-29 23:00:00+00:00,2.043,2.63,6.193
2016-04-28 23:00:00+00:00,3.353,4.25,9.785
2016-05-28 23:00:00+00:00,5.501,6.799,21.56
2016-06-27 23:00:00+00:00,3.59,4.151,9.76
2016-07-27 23:00:00+00:00,1.271,1.77,2.931
2016-08-26 23:00:00+00:00,3.044,3.601,8.844
2016-09-25 23:00:00+00:00,6.881,7.985,15.548
2016-10-25 23:00:00+00:00,7.505,8.751,10.285
2016-11-24 23:00:00+00:00,3.217,4.511,8.203
2016-12-24 23:00:00+00:00,8.416,9.912,20.609
2017-01-23 23:00:00+00:00,25.413,33.505,18.934
2017-02-22 23:00:00+00:00,1.026,1.266,2.075
2017-03-24 23:00:00+00:00,2.635,3.362,6.616
2017-04-23 23:00:00+00:00,13.621,16.144,25.917
2017-05-23 23:00:00+00:00,3.297,4.197,7.871
2017-06-22 23:00:00+00:00,3.821,5.562,5.794
2017-07-22 23:00:00+00:00,6.931,9.042,18.435
2017-08-21 23:00:00+00:00,5.229,5.799,10.118
2017-09-20 23:00:00+00:00,6.131,9.16,10.338
2017-10-20 23:00:00+00:00,6.213,7.501,12.152
2017-11-19 23:00:00+00:00,13.447,17.065,17.541
2017-12-19 23:00:00+00:00,10.638,12.457,13.318
2018-01-18 23:00:00+00:00,3.375,4.615,6.314
2018-02-17 23:00:00+00:00,3.806,4.896,8.339
2018-03-19 23:00:00+00:00,7.192,8.587,11.287
2018-04-18 23:00:00+00:00,3.151,3.947,7.844
2018-05-18 23:00:00+00:00,12.391,13.661,27.659
2018-06-17 23:00:00+00:00,9.713,12.331,16.891
2018-07-17 23:00:00+00:00,3.731,4.37,5.337
2018-08-16 23:00:00+00:00,2.514,3.203,4.081
