,0
2015-04-04 23:00:00+00:00,47.8
2015-04-05 00:00:00+00:00,46.5
2015-04-05 01:00:00+00:00,45.84
2015-04-05 02:00:00+00:00,46.5
2015-04-05 03:00:00+00:00,45.84
2015-04-05 04:00:00+00:00,45.84
2015-04-05 05:00:00+00:00,44.34
2015-04-05 06:00:00+00:00,44.8
2015-04-05 07:00:00+00:00,45.84
2015-04-05 08:00:00+00:00,42.78
2015-04-05 09:00:00+00:00,40.44
2015-04-05 10:00:00+00:00,27.64
2015-04-05 11:00:00+00:00,16.39
2015-04-05 12:00:00+00:00,11.0
2015-04-05 13:00:00+00:00,12.0
2015-04-05 14:00:00+00:00,12.2
2015-04-05 15:00:00+00:00,20.0
2015-04-05 16:00:00+00:00,38.44
2015-04-05 17:00:00+00:00,53.97
2015-04-05 18:00:00+00:00,63.66
2015-04-05 19:00:00+00:00,58.0
2015-04-05 20:00:00+00:00,59.6
2015-04-05 21:00:00+00:00,51.0
2015-04-05 22:00:00+00:00,51.1
2015-05-04 23:00:00+00:00,47.5
2015-05-05 00:00:00+00:00,45.06
2015-05-05 01:00:00+00:00,41.38
2015-05-05 02:00:00+00:00,42.03
2015-05-05 03:00:00+00:00,43.6
2015-05-05 04:00:00+00:00,48.84
2015-05-05 05:00:00+00:00,56.97
2015-05-05 06:00:00+00:00,66.94
2015-05-05 07:00:00+00:00,65.0
2015-05-05 08:00:00+00:00,55.75
2015-05-05 09:00:00+00:00,55.0
2015-05-05 10:00:00+00:00,49.56
2015-05-05 11:00:00+00:00,54.44
2015-05-05 12:00:00+00:00,64.9
2015-05-05 13:00:00+00:00,68.06
2015-05-05 14:00:00+00:00,70.0
2015-05-05 15:00:00+00:00,62.1
2015-05-05 16:00:00+00:00,55.0
2015-05-05 17:00:00+00:00,58.7
2015-05-05 18:00:00+00:00,72.6
2015-05-05 19:00:00+00:00,66.0
2015-05-05 20:00:00+00:00,50.94
2015-05-05 21:00:00+00:00,49.0
2015-05-05 22:00:00+00:00,49.03
